TickerStock;TickerETF;TickerFuture;TickerIndex;TickerFundMutual;TickerCurrency
OEDV;DIA;APU5.AX;^MERV;APU5.AX;AUDUSD=X
AAPL;AGG;ACV1529-C.BO;^TA100;ACV1529-C.BO;AUDCHF=X
BAC;ASHR;IRH7.AX;^ATX;IRH7.AX;AUDNZD=X
AMZN;AMJ;WMF6.AX;^DJU;WMF6.AX;AUDEUR=X
T;XME;APSM6.AX;^AORD;APSM6.AX;AUDTWD=X
GOOG;VIG;R2:EALT4T.SA;^AEX;R2:EALT4T.SA;AUDMXN=X
MO;IYT;XFL15Z.AX;RTS.RS;XFL15Z.AX;AUDJPY=X
DAL;AMLP;ASXSZC-A;^XAX;ASXSZC-A;NZDJPY=X
AA;CHAU;WMSF9.AX;399107.SZ;WMSF9.AX;EURXAF=X
AXP;VEU;MDJ16-2.SI;^DJA;MDJ16-2.SI;EURPEN=X
DD;AGQ;R2:SULA11T.SA;^OSEAX;R2:SULA11T.SA;EURBDT=X
BABA;FXA;XJO16K.AX;^NWX;XJO16K.AX;CAD=X
ABT;DBA;USH5.AX;^TWOII;USH5.AX;AZNUSD=X
UA;BOND;65087444.EX;^NQASPA8000LMAUDN;65087444.EX;AZNCHF=X
AMAT;ADRE;SQUHJ6.EX;^HUI;SQUHJ6.EX;AUDSCR=X
AMGN;ACWI;EDQ15-3.SI;^FTAS;EDQ15-3.SI;AUDMOP=X
AAL;PKW;LTG1625-C.BO;^FTAI;LTG1625-C.BO;AUDKRW=X
AIG;MOO;TEL6P.OL;^DRG;TEL6P.OL;AUDHNL=X
ALL;ITA;ASMHJ6.EX;^AXJO;ASMHJ6.EX;AUDGIP=X
ADBE;AAXJ;PPCFQ15-C.SI;^XBD;PPCFQ15-C.SI;AUDGBP=X
GOOGL;ILF;ARL.SI;^BTK;ARL.SI;AUDCZK=X
ACN;FXU;US16N.AX;^XMI;US16N.AX;AUDCLP=X
ABBV;AIA;THJ16-2.SI;^XABQ;THJ16-2.SI;AUDCAD=X
MT;AGC;APSK5.AX;^REIT;APSK5.AX;ARSKRW=X
LLY;PPA;R2:CBMA3T.SA;^QAGR;R2:CBMA3T.SA;ARSGBP=X
AGN;EWA;TWJ15-2.SI;^NQNA9000LMJPYN;TWJ15-2.SI;ALLGBP=X
APA;EPU;BLX1526-C.BO;^DAATR;BLX1526-C.BO;AEDTWD=X
ADP;ALFA;R6CFJ6.EX;^AXSVTN;R6CFJ6.EX;AEDSEK=X
APC;PEY;UBN6.AX;^ABAQ;UBN6.AX;AEDQAR=X
AKAM;PEK;APH15-3.SI;MICEXINDEXCF.ME;APH15-3.SI;AEDOMR=X
NLY;HDGE;ADEFH7.EX;^VXAPL;ADEFH7.EX;AEDMXN=X
ABX;FBT;R2:TEKA4T.SA;^SBF250;R2:TEKA4T.SA;AEDMAD=X
ATVI;SCHZ;PECFQ15-2.SI;^QIV;PECFQ15-2.SI;AEDLTL=X
ADSK;SBIO;APU1524-C.BO;^P1DOW;APU1524-C.BO;AEDKWD=X
ADM;NOBL;ISQ1527-C.BO;^OSTI;ISQ1527-C.BO;AEDHKD=X
BMH.AX;MLN;USA7.AX;^OMXNORDICEURPI;USA7.AX;AEDCNY=X
WBA;GML;HKQ15-2.SI;^NQZALMZARN;HKQ15-2.SI;AEDAUD=X
ARNA;FLM;APSZ6.AX;^NQZALMCAD;APSZ6.AX;AEDKRW=X
LUV;RJA;AZN7X.ST;^NQUSL8700AUDT;AZN7X.ST;XF000EURCOP7.SG
ACAD;PAGG;NVV1529-C.BO;^NQUSBLMAUDT;NVV1529-C.BO;AEDUSD=X
PANW;IFNA;APL5.AX;^NQUSBLMAUDN;APL5.AX;ARSCOP=X
AMD;GEX;ALM1630-C.BO;^NQUSB8777LMAUDN;ALM1630-C.BO;AUDRON=X
AET;EMLP;APH.SI;^NQUSB8777LMAUD;APH.SI;ARSUSD=X
AEP;DVYA;VO3GJ6.EX;^NQUSB5371LMJPYN;VO3GJ6.EX;AEDISK=X
ALXN;AOK;APN15-C.SI;^NQUSB5371LMJPY;APN15-C.SI;AEDLVL=X
CLMS;ADZ;ACK1528-C.BO;^NQUSB3763LMGBPT;ACK1528-C.BO;EURUYU=X
AVGO;MINT;APF16-3.SI;^NQUSB2795LMEURN;APF16-3.SI;EUR-BDT.F
EA;ITM;T58FQ16-3.SI;^NQUSB2000LMAUD;T58FQ16-3.SI;AEDPHP=X
DB;IGV;APU15-3.SI;^NQNALMN;APU15-3.SI;AEDCAD=X
RAI;FEUZ;LTN1530-C.BO;^NQNALMGBP;LTN1530-C.BO;HU32.EX
AEM;AGLS;AM16U.AX;^NQNALMEUR;AM16U.AX;AUTIE.SW
APD;AFK;NKJ16-C.SI;^NQNALMCAD;NKJ16-C.SI;AUDBMD=X
AMBA;ACWX;PSP6.AX;^NQNALM;PSP6.AX;ARSCLP=X
NVS;LBJ;PSC5.AX;^NQNA8300LM;PSC5.AX;AWG=X
APOL;LAG;PPSFQ16-2.SI;^NQNA8000LMGBPN;PPSFQ16-2.SI;AUDVEF=X
ANF;JJU;AZJSRX-A;^NQNA8000LMEURT;AZJSRX-A;ANGEUR=X
LULU;IGM;PHJ16-3.SI;^NQNA5300LMAUD;PHJ16-3.SI;AEDSGD=X
RAD;FKU;SH1617-C.BO;^NQNA5000LMJPYN;SH1617-C.BO;AEDKES=X
BRK.AX;FCA;CLU1524-C.BO;^NQNA5000LMJPY;CLU1524-C.BO;AEDNZD=X
ARRY;CN;UB19F.AX;^NQNA4000LMAUD;UB19F.AX;ANGZAR=X
AGNC;CHNA;T58FJ18-2.SI;^NQNA3700LMEURN;T58FJ18-2.SI;EUR-TRY.F
JBLU;AOA;ACX1526-C.BO;^NQNA3000LMN;ACX1526-C.BO;ARSHKD=X
A;AMZA;R2:TIET3T.SA;^NQNA2700LMN;R2:TIET3T.SA;HG12.EX
ORLY;ADRA;AIE.SI;^NQNA1000LMN;AIE.SI;AUDMAD=X
FOLD;PID;AKSO6N.OL;^NQNA0001LMCADN;AKSO6N.OL;AUDTND=X
AZO;MAUI;TKJ1530-C.BO;^NQLALMAUD;TKJ1530-C.BO;AUDMGA=X
ATML;FXN;VCSU5.AX;^NQDXUSMLTCGN;VCSU5.AX;AUD=X
AN;FXD;BMPS6D.MDD;^NQDXEU;BMPS6D.MDD;AUDILS=X
AZN;FTA;ASLKRC-A;^NQDXEMSC;ASLKRC-A;ARSMXN=X
AES;EZA;BLZ1531-C.BO;^NQDMXUSSCAUDT;BLZ1531-C.BO;AUDOMR=X
GAS;EMAG;AVFH6.EX;^NQDMXGBLMAUD;AVFH6.EX;ARSVEF=X
BUD;DEWJ;MRWFJ6.EX;^NQDMASPAXJPSCAUD;MRWFJ6.EX;AUDRUB=X
ARR;DAG;STJ15-3.SI;^NQDMASPALMGBPN;STJ15-3.SI;AUDLVL=X
BDX;CHAD;AMZ5.AX;^NQCALMAUD;AMZ5.AX;AEDBHD=X
AKS;CARZ;APJ15-3.SI;^NQAULMN;APJ15-3.SI;EURJOD=X
AB;ARGT;THJ16-3.SI;^NQATLMCADN;THJ16-3.SI;ALLEUR=X
ACOR;ADRU;SNFFJ6.EX;^NQASPALMGBPN;SNFFJ6.EX;881347.VI
CS;YAO;BAYFJ6.EX;^NQASPA8000LMEURN;BAYFJ6.EX;AUDBWP=X
AFL;VXUP;AOMGH6.EX;^NQASPA8000LM;AOMGH6.EX;AUBEZ.SW
ADI;USAG;ARIQRB-A;^NQASPA3500LMGBP;ARIQRB-A;AUDGHS=X
AEGR;TTFS;R2:EALT3T.SA;^NQASPA0001LMEUR;R2:EALT3T.SA;HF52.EX
ACIW;SPHD;IRM6.AX;^GRNASIA;IRM6.AX;AUDCRC=X
AMP;SMB;BKH1631-C.BO;^FIRSTNORTHDKK;BKH1631-C.BO;ANGCHF=X
AVP;PGD;ALVGH6.EX;^DWAPUT;ALVGH6.EX;EUR-KZT.F
AMTD;OASI;MB6D.MDD;^DRBSN;MB6D.MDD;AUDIDR=X
AEO;IPKW;AMF6.AX;^DRBS;AMF6.AX;AUDQAR=X
AWK;IGE;IRU9.AX;^DRBGT;IRU9.AX;AFN=X
NVO;GMF;VIJ1530-C.BO;^DRBG;VIJ1530-C.BO;EUR-PEN.F
ALTR;FYT;ATCGF6.EX;^CSE;ATCGF6.EX;AUDSYP=X
ALK;FXZ;R2:HETA4T.SA;^CSCSY;R2:HETA4T.SA;AEDCZK=X
PAA;FXO;VCA7.AX;^AXPJ;VCA7.AX;ARSPYG=X
MTU.AX;FWDD;APK1626-C.BO;^AXHJ;APK1626-C.BO;AEDNOK=X
ARCC;FKO;SCMHJ6.EX;^AXGD;SCMHJ6.EX;AUDPLN=X
AAP;FEX;A2KUZ7.EX;^AXGAL;A2KUZ7.EX;EUR-MUR.F
NAT;BTAL;LPFJ16-2.SI;^AXFJ;LPFJ16-2.SI;AUDINR=X
FNMA;AYT;THJ15-C.SI;^AMZ;THJ15-C.SI;AEDTND=X
FAV;AOR;M58FQ17-2.SI;TMPS;M58FQ17-2.SI;AEDXDR=X
AIV;AOM;AP16Z.AX;SXAPD.Z;AP16Z.AX;AUDXCD=X
AGIO;ADRD;AR16Z.AX;SDR15Y.SW;AR16Z.AX;EUR-BWP.F
AEE;ABE;A2ENZ7.EX;SA1AMVR.Z;A2ENZ7.EX;HU42.EX
UBS;AADR;ACQ1527-C.BO;PAX.PA;ACQ1527-C.BO;EUR-COP.F
AVXL;VSS;BCU1524-C.BO;INAX.DE;BCU1524-C.BO;AUDTTD=X
ARLP;STXX;R2:ABEV3T.SA;IM25.BA;R2:ABEV3T.SA;AUDANG=X
ANTM;SDOG;ANJ1628-C.BO;HTXHUF.VI;ANJ1628-C.BO;AUDFJD=X
AGU;PSR;A2DSZ6.EX;G7X4.DE;A2DSZ6.EX;AEDPKR=X
AG;MUNI;XJO16F.AX;D8AG.DE;XJO16F.AX;AUDEGP=X
AFSI;MLPS;R2:ABCB4T.SA;D1BM.DE;R2:ABCB4T.SA;ALLUSD=X
ABC;MLPG;AXAGZ8.EX;ASX1770.L;AXAGZ8.EX;AUDHKD=X
STO;MINC;EDQ15-C.SI;ALL.PS;EDQ15-C.SI;AUDKYD=X
ATI;JSML;USSK5.AX;AAX.NX;USSK5.AX;AEDTRY=X
ADT;HYLD;M58FQ15-2.SI;5FUA.DE;M58FQ15-2.SI;AUDAV.SW
AVB;GYLD;UBH5.AX;3BMO.DE;UBH5.AX;AEDTHB=X
ATW;GYEN;LTU1524-C.BO;SAA6UNR.Z;LTU1524-C.BO;AEDRUB=X
ALNY;FXH;VVUHJ6.EX;^NQLA1300JPYN;VVUHJ6.EX;AUDBHD=X
LH;FWDI;R2:CSAB3T.SA;SXSHIPTA.SG;R2:CSAB3T.SA;AEDPLN=X
AVY;FTW;AEZSZC-A;WIAMERS1730.FGI;AEZSZC-A;EURKES=X
AUY;FNX;IR20U.AX;DH6W.DE;IR20U.AX;AEDGBP=X
ASH;FJP;ATQ1527-C.BO;D8TW.DE;ATQ1527-C.BO;HU22.EX
ARMH;FGM;IRH0.AX;^NQUSB5752LMAUDT;IRH0.AX;AUDDOP=X
ARIA;FDTS;WM16K.AX;^NQASIA6000LMJPYT;WM16K.AX;HU52.EX
ANR;FCAN;PSC8.AX;^NQDMASIA1700JPYN;PSC8.AX;HF32.EX
AINV;EEML;CBKHJ6.EX;V2J3.DE;CBKHJ6.EX;AUDSGD=X
ACXM;EEMA;ELF1628-C.BO;4N6Z.DE;ELF1628-C.BO;EURBZD=X
ACHN;DWAT;STL6P.OL;^NQUSB0587CADN;STL6P.OL;EUR-HRK.F
ACET;AXJV;NVK1626-C.BO;^NQUSM9000AUDT;NVK1626-C.BO;EUR-LBP.F
ABMD;ASEA;CNJ16-3.SI;^NQUSB5373AUDN;CNJ16-3.SI;AUDUYU=X
ABM;AMU;BEIGJ6.EX;S63Y.SW;BEIGJ6.EX;AUDMUR=X
VA;AGGY;APH1631-C.BO;^NQUSS8771GBP;APH1631-C.BO;AUHOE.SW
LIFE;ACWF;APN5.AX;^NQNAMCCADN;APN5.AX;EUR-KES.F
ATO;YPRO;NESGJ6.EX;^NQDM7000AUD;NESGJ6.EX;AEDILS=X
ARP;XAR;GALFJ6.EX;^NQG6000AUDN;GALFJ6.EX;EURKZT=X
AON;VEGI;IRSU8.AX;^NQEMMEA2000AUDT;IRSU8.AX;AUDERN=X
ADXS;SMMU;WM16U.AX;^NQASPA3500LMT;WM16U.AX;IACWE.NX
ADC;SLOW;INQ15-3.SI;^NQEMASIA9000EUR;INQ15-3.SI;EURTRY=X
APU;RWV;STJ15-2.SI;^NQDMASIA6000LM;STJ15-2.SI;AUDLTL=X
SAVE;RTR;PSI5.AX;^NQLA7000GBPN;PSI5.AX;ARSUYU=X
AV;QLTA;STQ15-C.SI;31651175.SG;STQ15-C.SI;C3AR.EX
AKRX;PWZ;PSC6.AX;^NQASIA4000;PSC6.AX;EURCOP=X
ADS;PUTX;69769493.EX;^NQAU7000GBP;69769493.EX;AOAUSD=X
